usia;kelompok
3         ;Balita              
22        ;Pemuda              
66        ;Tua                 
72        ;Tua                 
37        ;Dewasa              
59        ;Tua                 
5         ;Balita              
12        ;Remaja              
25        ;Dewasa              
27        ;Dewasa              
64        ;Tua                 
44        ;Dewasa              
67        ;Tua                 
18        ;Pemuda              
41        ;Dewasa              
51        ;Dewasa              
24        ;Dewasa              
38        ;Dewasa              
44        ;Dewasa              
36        ;Dewasa              
50        ;Dewasa              
32        ;Dewasa              
5         ;Balita              
23        ;Pemuda              
57        ;Tua                 
5         ;Balita              
58        ;Tua                 
17        ;Pemuda              
57        ;Tua                 
31        ;Dewasa              
4         ;Balita              
76        ;Tua                 
77        ;Tua                 
36        ;Dewasa              
76        ;Tua                 
42        ;Dewasa              
49        ;Dewasa              
53        ;Dewasa              
48        ;Dewasa              
72        ;Tua                 
69        ;Tua                 
3         ;Balita              
24        ;Dewasa              
76        ;Tua                 
65        ;Tua                 
53        ;Dewasa              
48        ;Dewasa              
63        ;Tua                 
23        ;Pemuda              
41        ;Dewasa              
35        ;Dewasa              
57        ;Tua                 
44        ;Dewasa              
6         ;Kanak-Kanak         
11        ;Kanak-Kanak         
69        ;Tua                 
72        ;Tua                 
5         ;Balita              
6         ;Kanak-Kanak         
54        ;Dewasa              
22        ;Pemuda              
2         ;Balita              
31        ;Dewasa              
50        ;Dewasa              
26        ;Dewasa              
55        ;Tua                 
79        ;Tua                 
31        ;Dewasa              
42        ;Dewasa              
4         ;Balita              
73        ;Tua                 
79        ;Tua                 
43        ;Dewasa              
64        ;Tua                 
42        ;Dewasa              
58        ;Tua                 
64        ;Tua                 
41        ;Dewasa              
60        ;Tua                 
38        ;Dewasa              
28        ;Dewasa              
66        ;Tua                 
13        ;Remaja              
57        ;Tua                 
47        ;Dewasa              
79        ;Tua                 
1         ;Balita              
28        ;Dewasa              
77        ;Tua                 
37        ;Dewasa              
80        ;Tua                 
26        ;Dewasa              
60        ;Tua                 
66        ;Tua                 
50        ;Dewasa              
40        ;Dewasa              
29        ;Dewasa              
69        ;Tua                 
73        ;Tua                 
46        ;Dewasa              
